time;cpu0;avg_rtt;avg_rtt_a1;avg_rtt_a2;avg_upstream;avg_loss;avg_loss_a1;avg_loss_a2;#robots;#r_act1;#r_act2
1639648568.587;1310215.01;123.93;29.45;218.4;1.16;0.01;0.01156;0.0;4;2;2
1639648583.587;1310226.45;123.65;29.55;217.75;1.15;0.01;0.01131;0.0;4;2;2
1639648598.588;1310237.94;123.22;29.05;217.4;1.3;0.01;0.01107;0.0;4;2;2
1639648613.589;1310249.57;122.95;29.0;216.9;1.3;0.01;0.01285;0.0;4;2;2
1639648628.589;1310261.07;123.7;29.05;218.35;1.26;0.02;0.03227;0.0;4;2;2
1639648643.589;1310272.6;123.9;29.35;218.45;1.26;0.01;0.02984;0.0;4;2;2
1639648658.59;1310284.11;123.8;29.45;218.15;1.35;0.01;0.02783;0.0;4;2;2
1639648673.591;1310295.71;124.42;30.2;218.65;1.29;0.01;0.02613;0.0;4;2;2
1639648688.591;1310307.25;124.15;29.55;218.75;1.25;0.01;0.02663;0.0;4;2;2
1639648703.592;1310318.73;124.1;29.95;218.25;1.2;0.01;0.02534;0.0;4;2;2
1639648718.592;1310330.22;124.6;30.75;218.45;1.28;0.01;0.02418;0.0;4;2;2
1639648733.593;1310341.79;124.63;29.85;219.4;1.27;0.01;0.0232;0.0;4;2;2
1639648748.594;1310353.33;123.53;29.15;217.9;1.18;0.01;0.02228;0.0;4;2;2
1639648763.594;1310359.42;123.55;27.75;219.35;1.56;0.01;0.02327;0.0;4;2;2
1639648778.594;1310361.39;123.6;27.55;219.65;1.44;0.01;0.0274;0.0;4;2;2
1639648793.595;1310372.04;142.5;27.7;219.03;1.61;0.01;0.02652;0.0;5;2;2
1639648808.595;1310382.8;142.58;27.45;219.33;1.2;0.01;0.02556;0.0;5;2;3
1639648823.595;1310393.36;142.42;27.5;219.03;1.28;0.01;0.0247;0.0;5;2;3
1639648838.596;1310404.11;142.72;27.7;219.4;1.27;0.01;0.0239;0.0;5;2;3
1639648853.596;1310414.69;142.06;26.15;219.33;1.27;0.01;0.02317;0.0;5;2;3
1639648868.601;1310425.4;142.76;27.9;219.33;1.21;0.01;0.02248;0.0;5;2;3
1639648883.596;1310435.96;142.0;25.95;219.37;1.25;0.01;0.02184;0.0;5;2;3
1639648898.597;1310446.64;142.78;27.85;219.4;1.34;0.01;0.02473;0.0;5;2;3
1639648913.598;1310457.26;142.5;27.2;219.37;1.31;0.01;0.02426;0.0;5;2;3
1639648928.597;1310468.02;141.84;25.5;219.4;1.36;0.01;0.02409;0.0;5;2;3
1639648943.599;1310478.55;141.82;26.4;218.77;1.35;0.01;0.02613;0.0;5;2;3
1639648958.599;1310489.28;142.2;26.45;219.37;1.35;0.01;0.02542;0.0;5;2;3
1639648973.6;1310499.99;142.42;27.0;219.37;1.33;0.01;0.02474;0.0;5;2;3
1639648988.601;1310510.72;142.18;26.45;219.33;1.26;0.01;0.02413;0.0;5;2;3
1639649003.601;1310521.37;142.3;26.75;219.33;1.28;0.01;0.02354;0.0;5;2;3
1639649018.601;1310531.97;141.98;26.45;219.0;1.27;0.01;0.02298;0.0;5;2;3
1639649033.602;1310539.04;142.32;26.7;219.4;1.29;0.01;0.02245;0.0;5;2;3
1639649048.602;1310549.7;142.58;28.35;218.73;1.22;0.01;0.02193;0.0;5;2;3
1639649063.603;1310555.62;141.98;26.0;219.3;1.48;0.01;0.02151;0.0;5;2;3
1639649078.603;1310556.89;141.9;26.15;219.07;1.33;0.01;0.02582;0.0;5;2;3
1639649093.603;1310565.16;129.13;38.97;219.3;1.51;0.01;0.02738;0.0;6;2;3
1639649108.604;1310574.88;123.53;27.77;219.3;1.39;0.01;0.02016;0.0;6;3;3
1639649123.604;1310584.54;123.33;27.33;219.33;1.31;0.01;0.01992;0.0;6;3;3
1639649138.605;1310594.26;122.98;26.63;219.33;1.33;0.01;0.01948;0.0;6;3;3
1639649153.607;1310603.95;123.48;27.7;219.27;1.37;0.01;0.01906;0.0;6;3;3
1639649168.606;1310613.58;123.7;28.0;219.4;1.41;0.01;0.01866;0.0;6;3;3
1639649183.606;1310623.28;122.93;26.8;219.07;1.35;0.01;0.01829;0.0;6;3;3
1639649198.608;1310632.93;123.3;27.33;219.27;1.35;0.01;0.01793;0.0;6;3;3
1639649213.612;1310642.52;123.0;26.73;219.27;1.37;0.01;0.01758;0.0;6;3;3
1639649228.608;1310652.26;123.72;28.27;219.17;1.48;0.01;0.01725;0.0;6;3;3
1639649243.608;1310661.95;123.27;27.13;219.4;1.36;0.01;0.01694;0.0;6;3;3
1639649258.61;1310671.62;123.5;27.67;219.33;1.37;0.01;0.01737;0.0;6;3;3
1639649273.61;1310681.26;123.5;27.97;219.03;1.32;0.01;0.01707;0.0;6;3;3
1639649288.611;1310691.1;123.57;27.8;219.33;1.2;0.01;0.01678;0.0;6;3;3
