cpu0;avg_rtt_a1;avg_rtt_a2;avg_loss_a1;avg_loss_a2;r_a1;r_a2
575.95;0.0;220.22;0.0;0.0;0;1
580.29;0.0;219.3;0.0;0.0;0;1
584.62;0.0;219.3;0.0;0.0;0;1
589.01;41.0;219.17;0.0;0.0;1;1
593.37;43.0;219.55;0.0;0.0;1;1
597.67;43.55;219.29;0.0;0.0;1;1
602.04;44.17;219.41;0.0;0.0;1;1
606.32;41.9;219.3;0.0;0.0;1;1
610.7;42.3;220.26;0.0;0.0;1;1
615.0;42.5;219.43;0.0;0.0;1;1
619.32;43.33;219.78;0.0;0.0;1;1
623.71;42.14;219.73;0.0;0.0;1;1
628.03;43.1;219.43;0.0;0.0;1;1
632.35;0.0;0.0;0.0;0.0;0;0
636.69;42.65;220.13;0.0;0.0;1;1
641.01;41.15;219.41;0.0;0.0;1;1
645.35;42.43;219.43;0.0;0.0;1;1
649.71;42.73;219.39;0.0;0.0;1;1
654.1;41.89;219.22;0.0;0.0;1;1
658.37;41.37;220.3;0.0;0.0;1;1
662.65;41.82;219.39;0.0;0.0;1;1
666.96;42.05;220.22;0.0;0.0;1;1
671.31;44.49;221.14;0.0;0.0;1;1
675.69;43.04;219.35;0.0;0.0;1;1
680.02;41.8;220.26;0.0;0.0;1;1
684.35;42.31;220.27;0.0;0.0;1;1
688.65;42.67;219.35;0.0;0.0;1;1
692.94;42.18;219.3;0.0;0.0;1;1
697.29;41.65;220.22;0.0;0.0;1;1
701.59;43.99;221.13;0.0;0.0;1;1
705.92;42.69;220.32;0.0;0.0;1;1
710.23;43.15;219.35;0.0;0.0;1;1
714.44;42.47;220.3;0.0;0.0;1;1
718.76;44.95;221.09;0.0;0.0;1;1
723.13;43.1;220.17;0.0;0.0;1;1
727.36;44.26;220.23;0.0;0.0;1;1
731.64;43.28;219.35;0.0;0.0;1;1
735.99;43.01;221.22;0.0;0.0;1;1
740.31;42.55;219.43;0.0;0.0;1;1
744.55;44.26;220.18;0.0;0.0;1;1
748.9;41.8;220.17;0.0;0.0;1;1
753.2;42.51;219.26;0.0;0.0;1;1
757.53;42.14;220.22;0.0;0.0;1;1
761.95;42.32;220.26;0.0;0.0;1;1
766.16;41.92;219.35;0.0;0.0;1;1
770.5;42.68;219.32;0.0;0.0;1;1
774.87;42.1;219.35;0.0;0.0;1;1
779.15;42.33;221.96;0.0;0.0;1;1
783.46;42.35;219.39;0.0;0.0;1;1
787.79;41.78;219.27;0.0;0.0;1;1
792.05;41.71;221.04;0.0;0.0;1;1
796.38;41.99;219.39;0.0;0.0;1;1
800.71;42.33;220.22;0.0;0.0;1;1
800.71;43.03;219.36;0.0;0.0;1;1
805.03;42.31;219.35;0.0;0.0;1;1
809.36;42.47;219.3;0.0;0.0;1;1
813.71;42.38;220.65;0.0;0.0;1;1
818.07;41.72;220.65;0.0;0.0;1;1
822.34;42.73;219.3;0.0;0.0;1;1
826.7;40.65;219.23;0.0;0.0;1;1
831.01;43.36;220.13;0.0;0.0;1;1
835.37;41.28;220.3;0.0;0.0;1;1
839.59;43.43;219.3;0.0;0.0;1;1
843.94;42.03;219.45;0.0;0.0;1;1
848.27;41.02;219.29;0.0;0.0;1;1
852.55;40.38;219.27;0.0;0.0;1;1
856.91;40.66;219.39;0.0;0.0;1;1
861.31;41.59;219.35;0.0;0.0;1;1
865.68;41.43;219.43;0.0;0.0;1;1
870.06;40.78;220.17;0.0;0.0;1;1
874.39;41.03;219.45;0.0;0.0;1;1
878.75;41.8;220.09;0.0;0.0;1;1
883.04;42.42;220.13;0.0;0.0;1;1
887.4;42.44;220.36;0.0;0.0;1;1
891.7;42.56;220.26;0.0;0.0;1;1
896.11;42.51;219.35;0.0;0.0;1;1
900.42;42.03;219.3;0.0;0.0;1;1
904.72;42.93;219.35;0.0;0.0;1;1
908.99;43.05;220.17;0.0;0.0;1;1
913.25;40.93;219.82;0.0;0.0;1;1
917.63;42.82;221.52;0.0;0.0;1;1
921.96;41.54;219.39;0.0;0.0;1;1
926.28;42.39;219.39;0.0;0.0;1;1
930.59;41.89;220.22;0.0;0.0;1;1
934.94;41.39;219.87;0.0;0.0;1;1
939.2;42.35;219.73;0.0;0.0;1;1
943.49;42.75;220.09;0.0;0.0;1;1
947.8;42.83;219.39;0.0;0.0;1;1
952.12;41.67;219.22;0.0;0.0;1;1
956.44;42.55;221.18;0.0;0.0;1;1
960.76;41.94;220.13;0.0;0.0;1;1
964.96;42.94;220.26;0.0;0.0;1;1
969.28;41.15;219.43;0.0;0.0;1;1
973.64;42.59;219.36;0.0;0.0;1;1
977.97;43.66;219.39;0.0;0.0;1;1
982.37;42.49;220.22;0.0;0.0;1;1
986.7;42.54;219.43;0.0;0.0;1;1
990.98;42.04;219.48;0.0;0.0;1;1
995.28;42.96;219.3;0.0;0.0;1;1
999.76;41.97;219.35;0.0;0.0;1;1
1004.07;41.28;220.36;0.0;0.0;1;1
1008.39;43.57;221.0;0.0;0.0;1;1
1012.72;42.83;220.65;0.0;0.0;1;1
1017.08;41.92;220.27;0.0;0.0;1;1
1021.37;43.92;219.7;0.0;0.0;1;1
1025.67;41.55;220.26;0.0;0.0;1;1
1030.01;42.21;219.43;0.0;0.0;1;1
1034.3;43.1;220.27;0.0;0.0;1;1
1038.63;42.26;220.17;0.0;0.0;1;1
1042.89;41.36;219.39;0.0;0.0;1;1
1047.17;43.03;219.35;0.0;0.0;1;1
1051.5;42.96;219.39;0.0;0.0;1;1
1055.81;42.82;221.14;0.0;0.0;1;1
1060.15;43.13;219.39;0.0;0.0;1;1
1063.43;42.65;220.17;0.0;0.0;1;1
1065.42;44.27;220.57;0.0;0.0;1;1
1068.24;43.11;219.77;0.0;0.0;1;1
1068.28;43.01;219.3;0.0;0.0;1;1
1068.83;45.44;219.3;0.0;0.0;1;1
1072.38;43.19;221.13;0.0;0.0;1;1
1076.44;43.16;220.23;0.0;0.0;1;1
1080.47;41.09;219.26;0.0;0.0;1;1
1084.52;41.78;220.17;0.0;0.0;1;1
1088.61;41.38;221.14;0.0;0.0;1;2
1092.71;43.3;223.27;0.0;0.0;1;2
1096.81;42.26;222.08;0.0;0.0;1;2
1100.88;44.12;221.83;0.0;0.0;1;2
1105.02;42.36;222.83;0.0;0.0;1;2
1109.15;44.35;222.52;0.0;0.0;1;2
1113.18;42.77;223.68;0.0;0.0;1;2
1117.24;43.55;222.06;0.0;0.0;1;2
1121.32;43.51;223.31;0.0;0.0;1;2
1125.44;42.55;223.22;0.0;0.0;1;2
1129.54;42.92;224.54;0.0;0.0;1;2
1133.51;45.01;222.15;0.0;0.0;1;2
1137.53;42.37;222.82;0.0;0.0;1;2
1141.64;42.72;222.7;0.0;0.0;1;2
1145.68;42.83;223.24;0.0;0.0;1;2
1149.67;43.07;223.43;0.0;0.0;1;2
1153.71;43.28;222.02;0.0;0.0;1;2
1157.79;42.57;224.28;0.0;0.0;1;2
1161.92;43.7;222.58;0.0;0.0;1;2
1166.04;43.88;223.03;0.0;0.0;1;2
1170.14;44.03;222.29;0.0;0.0;1;2
1174.23;44.22;222.31;0.0;0.0;1;2
1178.23;44.48;225.38;0.0;0.0;1;2
1182.15;42.91;223.25;0.0;0.0;1;2
1186.27;43.21;222.51;0.0;0.0;1;2
1190.32;43.3;222.0;0.0;0.0;1;2
1194.33;44.09;222.26;0.0;0.0;1;2
1198.34;42.26;221.74;0.0;0.0;1;2
1202.4;41.69;222.31;0.0;0.0;1;2
1206.39;41.2;222.39;0.0;0.0;1;2
1210.52;43.25;223.47;0.0;0.0;1;2
1214.55;43.08;224.37;0.0;0.0;1;2
1218.59;43.23;222.1;0.0;0.0;1;2
1222.63;42.49;222.97;0.0;0.0;1;2
1222.63;42.41;222.38;0.0;0.0;1;2
1226.65;0.0;0.0;0.0;0.0;0;0
1230.64;42.41;222.38;0.0;0.0;1;2
1234.75;42.12;221.95;0.0;0.0;1;2
1238.89;42.01;223.45;0.0;0.0;1;2
1242.91;41.69;224.13;0.0;0.0;1;2
1247.01;42.31;223.72;0.0;0.0;1;2
1251.12;42.04;224.06;0.0;0.0;1;2
1255.2;42.71;222.25;0.0;0.0;1;2
1259.29;42.84;224.4;0.0;0.0;1;2
1263.41;42.63;221.92;0.0;0.0;1;2
1267.48;43.88;222.4;0.0;0.0;1;2
1271.6;40.6;222.95;0.0;0.0;1;2
1275.67;43.64;223.59;0.0;0.0;1;2
1279.63;43.62;221.34;0.0;0.0;1;2
1283.64;42.65;221.87;0.0;0.0;1;2
1287.64;44.04;222.56;0.0;0.0;1;2
1291.7;44.69;222.47;0.0;0.0;1;2
1295.84;43.49;221.5;0.0;0.0;1;2
1300.02;43.79;222.18;0.0;0.0;1;2
1304.04;43.36;222.12;0.0;0.0;1;2
1308.13;43.29;222.78;0.0;0.0;1;2
1312.17;43.39;222.5;0.0;0.0;1;2
1316.27;43.09;222.45;0.0;0.0;1;2
1320.33;42.01;222.57;0.0;0.0;1;2
1324.28;43.18;220.65;0.0;0.0;1;2
1328.35;43.87;222.07;0.0;0.0;1;2
1332.42;43.48;221.61;0.0;0.0;1;2
1336.51;45.18;221.38;0.0;0.0;1;2
1340.55;45.07;222.43;0.0;0.0;1;2
1344.61;43.39;222.0;0.0;0.0;1;2
1348.75;42.13;221.88;0.0;0.0;1;2
1352.81;42.59;222.31;0.0;0.0;1;2
1356.81;42.97;223.49;0.0;0.0;1;2
1360.92;43.02;221.91;0.0;0.0;1;2
1365.01;42.13;221.65;0.0;0.0;1;2
1369.03;42.85;223.21;0.0;0.0;1;2
1373.01;43.18;224.12;0.0;0.0;1;2
1377.11;43.74;223.08;0.0;0.0;1;2
1381.21;44.57;223.04;0.0;0.0;1;2
1385.24;42.84;221.63;0.0;0.0;1;2
1389.2;43.82;221.94;0.0;0.0;1;2
1393.26;42.64;221.71;0.0;0.0;1;2
1397.27;42.94;221.9;0.0;0.0;1;2
1401.4;43.89;221.81;0.0;0.0;1;2
1405.49;44.43;222.09;0.0;0.0;1;2
1409.6;43.06;222.95;0.0;0.0;1;2
1413.7;42.56;222.44;0.0;0.0;1;2
1417.83;42.78;223.05;0.0;0.0;1;2
1421.8;42.45;222.54;0.0;0.0;1;2
1425.81;45.57;222.33;0.0;0.0;1;2
1429.95;42.71;222.19;0.0;0.0;1;2
1433.91;41.4;220.25;0.0;0.0;1;2
1437.99;42.27;221.94;0.0;0.0;1;2
1442.06;42.63;222.37;0.0;0.0;1;2
1446.16;42.29;223.13;0.0;0.0;1;2
1450.29;40.51;223.26;0.0;0.0;1;2
1454.46;41.92;223.25;0.00004;0.0;1;2
1458.6;42.03;222.88;0.00004;0.0;1;2
1462.73;43.67;222.72;0.00004;0.0;1;2
1466.74;43.09;223.22;0.00004;0.0;1;2
1470.85;43.99;221.37;0.00004;0.0;1;2
1474.98;43.94;222.71;0.00004;0.0;1;2
1479.07;42.38;221.59;0.00004;0.0;1;2
1483.16;44.7;225.19;0.00004;0.0;1;2
1487.2;45.0;222.7;0.00004;0.0;1;2
1491.22;43.26;222.75;0.00004;0.0;1;2
1495.33;42.21;223.22;0.00004;0.0;1;2
1499.43;42.56;223.93;0.00004;0.0;1;2
1503.52;44.2;221.56;0.00004;0.0;1;2
1507.61;44.3;221.54;0.00004;0.0;1;2
1511.66;42.85;222.2;0.00004;0.0;1;2
1515.69;43.39;221.9;0.00004;0.0;1;2
1519.72;42.59;223.19;0.00004;0.0;1;2
1523.85;44.11;223.2;0.00004;0.0;1;2
1527.86;42.91;221.26;0.00004;0.0;1;2
1531.92;44.03;223.22;0.00004;0.0;1;2
1534.54;43.81;225.67;0.00004;0.0;1;2
1536.36;44.85;223.63;0.00004;0.0;1;2
1538.91;45.05;220.94;0.00004;0.0;1;2
1538.94;45.37;223.45;0.00004;0.0;1;2
1539.21;41.98;222.21;0.00004;0.0;1;2
1542.33;42.33;223.41;0.00004;0.0;1;2
1545.92;42.18;222.53;0.00004;0.0;1;2
1549.71;43.77;223.81;0.00004;0.0;1;2
1553.47;44.08;221.82;0.00004;0.0;1;2
1557.24;41.64;222.47;0.00002;0.0;2;2
1561.13;42.3;224.55;0.00002;0.0;2;2
1564.81;41.72;222.26;0.00002;0.0;2;2
1568.54;42.34;221.38;0.00002;0.0;2;2
1572.35;41.27;221.85;0.00002;0.0;2;2
1576.14;41.77;221.95;0.00002;0.0;2;2
1579.97;41.04;221.59;0.00002;0.0;2;2
1583.93;0.0;0.0;0.0;0.0;0;0
1587.78;42.09;223.17;0.00002;0.0;2;2
1591.59;41.16;221.41;0.00002;0.0;2;2
1595.38;41.47;221.39;0.00002;0.0;2;2
1599.11;41.41;223.31;0.00002;0.0;2;2
1602.73;42.12;223.01;0.00002;0.0;2;2
1606.53;41.53;223.2;0.00002;0.0;2;2
1606.53;41.66;223.25;0.00002;0.0;2;2
1610.22;41.05;222.37;0.00002;0.0;2;2
1614.04;41.07;223.95;0.00002;0.0;2;2
1617.86;41.33;222.25;0.00002;0.0;2;2
1621.69;41.48;223.24;0.00002;0.0;2;2
1625.41;41.87;221.88;0.00002;0.0;2;2
1629.12;41.55;224.56;0.00002;0.0;2;2
1632.89;41.55;223.78;0.00002;0.0;2;2
1636.62;41.55;223.13;0.00002;0.0;2;2
1640.42;41.43;222.32;0.00002;0.0;2;2
1644.21;42.2;222.87;0.00002;0.0;2;2
1647.97;40.71;224.33;0.00002;0.0;2;2
1651.62;41.44;223.72;0.00002;0.0;2;2
1655.24;41.91;222.76;0.00002;0.0;2;2
1659.06;41.54;223.43;0.00002;0.0;2;2
1662.84;41.55;222.81;0.00002;0.0;2;2
1666.54;42.16;223.92;0.00002;0.0;2;2
1670.31;41.75;222.56;0.00002;0.0;2;2
1674.11;41.45;222.77;0.00002;0.0;2;2
1677.95;41.7;221.32;0.00002;0.0;2;2
1681.83;41.73;222.8;0.00002;0.0;2;2
1685.59;41.91;222.39;0.00002;0.0;2;2
1689.37;41.22;221.9;0.00002;0.0;2;2
1693.1;41.35;223.23;0.00002;0.0;2;2
1696.91;41.0;222.61;0.00002;0.0;2;2
1700.55;41.45;223.27;0.00002;0.0;2;2
1704.31;41.94;223.15;0.00002;0.0;2;2
1708.17;42.0;223.87;0.00002;0.0;2;2
1712.02;41.57;221.86;0.00002;0.0;2;2
1715.83;41.33;223.0;0.00002;0.0;2;2
1719.4;42.12;222.09;0.00002;0.0;2;2
1723.27;40.92;222.22;0.00002;0.0;2;2
1727.15;41.12;224.13;0.00002;0.0;2;2
1730.98;41.28;222.79;0.00002;0.0;2;2
1734.75;42.3;223.41;0.00002;0.0;2;2
1738.54;40.61;222.01;0.00002;0.0;2;2
1742.37;41.48;222.45;0.00002;0.0;2;2
1746.09;41.5;222.96;0.00001;0.0;2;2
1749.91;41.83;222.51;0.00001;0.0;2;2
1753.86;41.72;221.82;0.00001;0.0;2;2
1757.69;41.2;222.26;0.00001;0.0;2;2
1761.38;41.72;220.94;0.00001;0.0;2;2
1765.21;42.11;222.77;0.00001;0.0;2;2
1768.95;41.52;223.39;0.00001;0.0;2;2
1772.68;41.68;222.83;0.00001;0.0;2;2
1776.49;41.72;221.82;0.00001;0.0;2;2
1780.35;41.8;222.91;0.00001;0.0;2;2
1784.17;41.91;223.25;0.00001;0.0;2;2
1787.83;41.33;221.64;0.00001;0.0;2;2
1791.65;41.38;224.05;0.00001;0.0;2;2
1795.45;41.17;220.97;0.00001;0.0;2;2
1799.27;41.45;220.87;0.00001;0.0;2;2
1803.04;41.38;222.75;0.00001;0.0;2;2
1806.9;41.75;222.83;0.00001;0.0;2;2
1810.64;42.12;221.71;0.00001;0.0;2;2
1814.51;42.12;221.71;0.00001;0.0;2;2
1818.28;40.7;221.58;0.00001;0.0;2;2
1822.13;41.66;222.41;0.00001;0.0;2;2
1825.88;41.86;223.91;0.00001;0.0;2;2
1829.64;41.09;221.16;0.00001;0.0;2;2
1833.4;41.4;222.69;0.00001;0.0;2;2
1837.2;41.47;222.38;0.00001;0.0;2;2
1841.03;42.02;223.41;0.00001;0.0;2;2
1844.8;41.47;222.62;0.00001;0.0;2;2
1848.5;40.88;221.13;0.00001;0.0;2;2
1852.37;41.21;223.59;0.00001;0.0;2;2
1856.09;0.0;0.0;0.0;0.0;0;0
1859.89;41.62;222.5;0.00001;0.0;2;2
1863.66;41.48;222.59;0.00001;0.0;2;2
1867.48;41.86;222.56;0.00001;0.0;2;2
1871.2;41.81;223.55;0.00001;0.0;2;2
1875.05;42.04;221.91;0.00001;0.0;2;2
1878.79;42.09;222.95;0.00001;0.0;2;2
1882.67;42.31;222.51;0.00001;0.0;2;2
1886.49;41.55;224.71;0.00001;0.0;2;2
1890.4;41.77;222.7;0.00001;0.0;2;2
1894.13;42.26;223.13;0.00001;0.0;2;2
1897.9;41.86;223.47;0.00001;0.0;2;2
1901.73;41.48;222.56;0.00001;0.0;2;2
1905.41;41.29;223.01;0.00001;0.0;2;2
1909.17;41.73;223.19;0.00001;0.0;2;2
1913.05;41.29;224.53;0.00001;0.0;2;2
1916.86;41.8;223.33;0.00001;0.0;2;2
1920.9;41.37;225.68;0.00001;0.0;2;2
1924.7;40.61;222.04;0.00001;0.0;2;2
1928.56;42.31;221.51;0.00001;0.0;2;2
1932.48;41.56;223.45;0.00001;0.0;2;2
1936.21;41.73;221.13;0.00001;0.0;2;2
1939.97;40.64;223.11;0.00001;0.0;2;2
1943.83;41.58;222.76;0.00001;0.0;2;2
1947.68;41.44;222.09;0.00001;0.0;2;2
1951.5;40.63;222.6;0.00001;0.0;2;2
1951.5;41.46;223.9;0.00001;0.0;2;2
1955.34;42.17;222.21;0.00001;0.0;2;2
1959.11;42.16;222.09;0.00001;0.0;2;2
1962.84;41.74;223.0;0.00001;0.0;2;2
1966.7;41.55;221.5;0.00001;0.0;2;2
1970.53;42.17;223.62;0.00001;0.0;2;2
1972.0;40.75;223.34;0.00001;0.0;2;2
1974.42;41.94;223.16;0.00001;0.0;2;2
1975.96;42.7;222.59;0.00001;0.0;2;2
1975.96;42.12;223.13;0.00001;0.0;2;2
1976.77;41.78;224.18;0.00001;0.0;2;2
1980.02;42.16;224.27;0.00001;0.0;2;2
1983.56;41.33;221.9;0.00001;0.0;2;2
1986.92;42.0;221.98;0.00001;0.0;2;2
1990.52;41.88;222.9;0.00001;0.0;2;2
1994.14;41.28;222.45;0.00001;0.0;2;3
1997.57;41.02;221.76;0.00001;0.0;2;3
2001.15;42.1;221.82;0.00001;0.0;2;3
2004.66;41.56;222.07;0.00001;0.0;2;3
2008.19;42.13;221.52;0.00001;0.0;2;3
2011.73;41.36;220.92;0.00001;0.0;2;3
2015.18;41.59;221.3;0.00001;0.0;2;3
2018.73;41.55;221.57;0.00001;0.0;2;3
2022.18;41.79;222.03;0.00001;0.0;2;3
2025.7;40.76;221.49;0.00001;0.0;2;3
2029.12;42.03;221.34;0.00001;0.0;2;3
2032.61;41.94;221.82;0.00001;0.0;2;3
2036.04;42.14;221.18;0.00001;0.0;2;3
2039.44;40.98;221.14;0.00001;0.0;2;3
2043.0;42.31;220.79;0.00001;0.0;2;3
2046.46;42.0;222.49;0.00001;0.0;2;3
2050.02;42.32;220.67;0.00001;0.0;2;3
2053.54;41.91;221.76;0.00001;0.0;2;3
2057.02;41.89;220.9;0.00001;0.0;2;3
2060.59;41.34;221.69;0.00001;0.0;2;3
2064.17;41.42;221.92;0.00001;0.0;2;3
2067.68;41.66;221.83;0.00001;0.0;2;3
2071.12;42.04;220.52;0.00001;0.0;2;3
2074.64;42.62;222.03;0.00001;0.0;2;3
2078.2;41.8;220.72;0.00001;0.0;2;3
2081.73;42.33;222.15;0.00001;0.0;2;3
2085.3;42.21;220.6;0.00001;0.0;2;3
2088.99;41.64;221.63;0.00001;0.0;2;3
2092.5;42.34;220.97;0.00001;0.0;2;3
2095.9;42.24;221.82;0.00001;0.0;2;3
2099.49;41.47;221.82;0.00001;0.0;2;3
2103.16;41.55;222.01;0.00001;0.0;2;3
2106.86;41.11;222.21;0.00001;0.0;2;3
2110.26;41.27;222.52;0.00001;0.0;2;3
2113.71;42.36;221.61;0.00001;0.0;2;3
2117.31;41.89;221.32;0.00001;0.0;2;3
2120.88;41.63;220.87;0.00001;0.0;2;3
2124.47;41.89;222.42;0.00001;0.0;2;3
2127.86;41.19;221.36;0.00001;0.0;2;3
2131.24;41.38;221.2;0.00001;0.0;2;3
2134.74;40.94;221.4;0.00001;0.0;2;3
2138.2;41.61;221.59;0.00001;0.0;2;3
2141.53;40.45;223.72;0.00001;0.0;2;3
2145.22;41.68;221.82;0.00001;0.0;2;3
2148.78;40.69;222.1;0.00001;0.0;2;3
2152.31;41.76;221.47;0.00001;0.0;2;3
2155.91;41.29;222.6;0.00001;0.0;2;3
2159.56;41.12;221.58;0.00001;0.0;2;3
2163.04;40.36;222.7;0.00001;0.0;2;3
2166.68;40.76;220.95;0.00001;0.0;2;3
2170.29;41.58;221.72;0.00001;0.0;2;3
2173.79;41.64;222.94;0.00001;0.0;2;3
2177.18;40.86;221.75;0.00001;0.0;2;3
2180.77;41.97;221.94;0.00001;0.0;2;3
2184.53;41.09;221.77;0.00001;0.0;2;3
2188.02;41.07;221.45;0.00001;0.0;2;3
2191.57;41.98;220.95;0.00001;0.0;2;3
2195.14;41.8;222.22;0.00001;0.0;2;3
2198.71;41.61;222.05;0.00001;0.0;2;3
2202.28;40.89;221.71;0.00001;0.0;2;3
2205.86;41.72;221.74;0.00001;0.0;2;3
